"model","model_name","bench_class","scenario","scenario_kind","test","rtr_mode","n_threads","muge","flash_attn","avg_ts","stddev_ts","wall_seconds"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","tg:128","tg","tg128","on","16","False","True","29.539636","0.214901","17.04"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pg:512:128","pg","pp512","on","16","False","True","308.621636","1.807727","22.108"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pg:512:128","pg","tg128","on","16","False","True","29.319976","0.004043","22.108"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pp:512","pp","pp512","auto","16","False","True","309.474526","1.051011","8.905"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","tg:128","tg","tg128","auto","16","False","True","29.389274","0.229489","17.048"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pg:512:128","pg","pp512","auto","16","False","True","308.563879","1.761743","22.237"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pg:512:128","pg","tg128","auto","16","False","True","29.25579","0.100669","22.237"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pp:512","pp","pp512","off","24","False","True","290.341532","67.914571","7.805"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","tg:128","tg","tg128","off","24","False","True","26.689706","2.683077","16.732"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pg:512:128","pg","pp512","off","24","False","True","281.62218","82.134381","21.511"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pg:512:128","pg","tg128","off","24","False","True","28.823889","0.145395","21.511"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pp:512","pp","pp512","on","24","False","True","373.192837","29.981056","7.929"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","tg:128","tg","tg128","on","24","False","True","30.045097","0.159434","16.945"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pg:512:128","pg","pp512","on","24","False","True","372.180242","31.227769","21.01"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pg:512:128","pg","tg128","on","24","False","True","30.10005","0.02451","21.01"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pp:512","pp","pp512","auto","24","False","True","374.192833","27.782372","8.167"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","tg:128","tg","tg128","auto","24","False","True","30.019875","0.280803","16.849"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pg:512:128","pg","pp512","auto","24","False","True","379.049876","21.102125","21.172"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pg:512:128","pg","tg128","auto","24","False","True","30.069752","0.014745","21.172"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pp:512","pp","pp512","off","32","False","True","277.271469","97.723266","8.544"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","tg:128","tg","tg128","off","32","False","True","24.721175","2.491669","17.98"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pg:512:128","pg","pp512","off","32","False","True","291.453102","90.797844","22.494"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pg:512:128","pg","tg128","off","32","False","True","26.495585","0.094837","22.494"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pp:512","pp","pp512","on","32","False","True","379.817229","64.418304","7.882"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","tg:128","tg","tg128","on","32","False","True","28.782538","0.098351","17.499"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pg:512:128","pg","pp512","on","32","False","True","374.624677","64.829437","21.429"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pg:512:128","pg","tg128","on","32","False","True","28.923859","0.077964","21.429"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pp:512","pp","pp512","auto","32","False","True","375.544991","63.646411","8.237"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","tg:128","tg","tg128","auto","32","False","True","28.853226","0.231233","17.345"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pg:512:128","pg","pp512","auto","32","False","True","367.952141","75.683481","21.835"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pg:512:128","pg","tg128","auto","32","False","True","28.738963","0.052548","21.835"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","pp:512","pp","pp512","off","8","False","True","172.923429","11.457813","86.859"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","tg:128","tg","tg128","off","8","False","True","18.629567","0.387768","22.408"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","pg:512:128","pg","pp512","off","8","False","True","169.059554","9.592242","31.287"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","pg:512:128","pg","tg128","off","8","False","True","18.882853","0.016525","31.287"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","pp:512","pp","pp512","on","8","False","True","172.944804","0.594145","10.759"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","tg:128","tg","tg128","on","8","False","True","19.351326","0.07921","21.819"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","pg:512:128","pg","pp512","on","8","False","True","170.2716","1.478681","30.974"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","pg:512:128","pg","tg128","on","8","False","True","19.326326","0.004598","30.974"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","pp:512","pp","pp512","auto","8","False","True","172.832436","1.949267","11.025"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","tg:128","tg","tg128","auto","8","False","True","19.296246","0.096356","22.096"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","pg:512:128","pg","pp512","auto","8","False","True","173.717896","4.323463","30.845"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","pg:512:128","pg","tg128","auto","8","False","True","19.399031","0.09285","30.845"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","pp:512","pp","pp512","off","16","False","True","280.028961","22.37591","7.418"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","tg:128","tg","tg128","off","16","False","True","22.614259","1.039335","18.922"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","pg:512:128","pg","pp512","off","16","False","True","273.492937","29.714653","24.09"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","pg:512:128","pg","tg128","off","16","False","True","23.303016","0.082743","24.09"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","pp:512","pp","pp512","on","16","False","True","274.980874","31.519005","7.591"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","tg:128","tg","tg128","on","16","False","True","23.23782","0.689544","18.575"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","pg:512:128","pg","pp512","on","16","False","True","274.312518","31.157376","23.979"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","pg:512:128","pg","tg128","on","16","False","True","23.528343","0.025494","23.979"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","pp:512","pp","pp512","auto","16","False","True","284.651146","13.601328","7.552"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","tg:128","tg","tg128","auto","16","False","True","23.144401","0.873412","18.808"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","pg:512:128","pg","pp512","auto","16","False","True","280.909974","19.541178","24.083"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","pg:512:128","pg","tg128","auto","16","False","True","23.486262","0.068107","24.083"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","pp:512","pp","pp512","off","24","False","True","337.150839","95.253155","6.959"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","tg:128","tg","tg128","off","24","False","True","23.116438","1.70003","18.622"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","pg:512:128","pg","pp512","off","24","False","True","336.417365","94.537825","22.778"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","pg:512:128","pg","tg128","off","24","False","True","24.198167","0.094356","22.778"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","pp:512","pp","pp512","on","24","False","True","338.482121","97.176868","6.843"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","tg:128","tg","tg128","on","24","False","True","23.609521","1.539487","18.334"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","pg:512:128","pg","pp512","on","24","False","True","352.274987","74.789771","22.269"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","pg:512:128","pg","tg128","on","24","False","True","24.483189","0.044689","22.269"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","pp:512","pp","pp512","auto","24","False","True","346.812956","81.99099","6.846"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","tg:128","tg","tg128","auto","24","False","True","23.681628","1.488767","18.463"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","pg:512:128","pg","pp512","auto","24","False","True","339.408673","94.656581","22.809"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","pg:512:128","pg","tg128","auto","24","False","True","24.424668","0.047918","22.809"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","pp:512","pp","pp512","off","32","False","True","360.433142","123.135937","6.745"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","tg:128","tg","tg128","off","32","False","True","20.946426","1.401739","20.345"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","pg:512:128","pg","pp512","off","32","False","True","360.181666","116.437427","24.291"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","pg:512:128","pg","tg128","off","32","False","True","21.821266","0.041699","24.291"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","pp:512","pp","pp512","on","32","False","True","359.981566","127.966857","6.748"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","tg:128","tg","tg128","on","32","False","True","21.608242","0.935711","19.85"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","pg:512:128","pg","pp512","on","32","False","True","368.643148","119.889349","24.063"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","pg:512:128","pg","tg128","on","32","False","True","22.041671","0.053999","24.063"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","pp:512","pp","pp512","auto","32","False","True","356.423108","131.368398","7.064"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","tg:128","tg","tg128","auto","32","False","True","21.545306","0.977344","20.029"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","pg:512:128","pg","pp512","auto","32","False","True","358.861599","128.800677","24.449"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","pg:512:128","pg","tg128","auto","32","False","True","22.047694","0.100761","24.449"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","load:0:1","load_probe","tg1","off","16","False","True","4.596725","0","1.749"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","load:0:1","load_probe","tg1","on","16","False","True","27.686873","0","3.766"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","load:0:1","load_probe","tg1","auto","16","False","True","26.539842","0","3.959"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","load:0:1","load_probe","tg1","off","16","False","True","3.676027","0","1.799"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","load:0:1","load_probe","tg1","on","16","False","True","12.047931","0","1.904"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","in_ram","load:0:1","load_probe","tg1","auto","16","False","True","13.075741","0","2.111"
